# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
averring; averting; 10000               # p=1.000, r=0.500, 43+559
averring; averting; 1000                # p=1.000, r=0.613, 43+559
averring; averting; 100                 # p=0.998, r=0.706, 43+559
averring; averting; 10                  # p=0.998, r=0.809, 43+559
award; aware; 1000000                   # p=0.993, r=0.626, 938+1000
award; aware; 100000                    # p=0.992, r=0.646, 938+1000
award; aware; 10000                     # p=0.990, r=0.720, 938+1000
awards; swards; 1000000                 # p=0.992, r=0.363, 945+40
awards; swards; 100000                  # p=0.995, r=0.566, 945+40
awards; swards; 10000                   # p=0.995, r=0.639, 945+40
awash; swash; 1000000                   # p=0.998, r=0.294, 954+522
awash; swash; 100000                    # p=0.998, r=0.349, 954+522
awash; swash; 10000                     # p=0.995, r=0.381, 954+522
awash; swash; 1000                      # p=0.995, r=0.428, 954+522
awash; swash; 100                       # p=0.990, r=0.475, 954+522
awed; awes; 1000000                     # p=0.993, r=0.573, 397+67
awed; awes; 100000                      # p=0.993, r=0.614, 397+67
awed; awes; 10000                       # p=0.990, r=0.647, 397+67
awed; awes; 1000                        # p=0.990, r=0.672, 397+67
axed; aced; 100000                      # p=1.000, r=0.167, 1000+154
axed; aced; 10000                       # p=1.000, r=0.296, 1000+154
axed; aced; 1000                        # p=0.996, r=0.421, 1000+154
axed; aced; 100                         # p=0.992, r=0.558, 1000+154
aye; ate; 1000000                       # p=0.995, r=0.307, 997+996
aye; ate; 100000                        # p=0.994, r=0.331, 997+996
aye; ate; 10000                         # p=0.990, r=0.357, 997+996
babels; bagels; 1000000                 # p=0.991, r=0.324, 48+612
babels; bagels; 100000                  # p=0.992, r=0.379, 48+612
babels; bagels; 10000                   # p=0.993, r=0.421, 48+612
babels; bagels; 1000                    # p=0.994, r=0.500, 48+612
babels; bagels; 100                     # p=0.992, r=0.600, 48+612
baffled; baffles; 1000000               # p=0.998, r=0.384, 1000+588
baffled; baffles; 100000                # p=0.999, r=0.428, 1000+588
baffled; baffles; 10000                 # p=0.995, r=0.477, 1000+588
bagged; gagged; 100000                  # p=0.996, r=0.119, 1000+1000
bagged; gagged; 10000                   # p=0.994, r=0.235, 1000+1000
bagged; gagged; 1000                    # p=0.991, r=0.328, 1000+1000
bagging; gagging; 10000                 # p=0.991, r=0.113, 689+275
bait; gait; 1000000                     # p=0.997, r=0.156, 1000+1000
bait; gait; 100000                      # p=0.998, r=0.208, 1000+1000
bait; gait; 10000                       # p=0.996, r=0.278, 1000+1000
bait; gait; 1000                        # p=0.995, r=0.375, 1000+1000
balanced; balances; 1000000             # p=0.995, r=0.324, 1000+1000
balanced; balances; 100000              # p=0.993, r=0.414, 1000+1000
balanced; balances; 10000               # p=0.991, r=0.472, 1000+1000
bald; bale; 100000                      # p=0.990, r=0.150, 998+1000
baled; bales; 1000000                   # p=0.996, r=0.371, 206+1000
baled; bales; 100000                    # p=0.996, r=0.404, 206+1000
baled; bales; 10000                     # p=0.993, r=0.477, 206+1000
baled; bales; 1000                      # p=0.994, r=0.542, 206+1000
baled; bales; 100                       # p=0.994, r=0.596, 206+1000
baled; bales; 10                        # p=0.991, r=0.652, 206+1000
balked; balled; 1000000                 # p=0.995, r=0.355, 791+374
balked; balled; 100000                  # p=0.996, r=0.446, 791+374
balked; balled; 10000                   # p=0.997, r=0.535, 791+374
balked; balled; 1000                    # p=0.996, r=0.638, 791+374
balked; balled; 100                     # p=0.993, r=0.762, 791+374
banished; vanished; 1000000             # p=0.990, r=0.153, 1000+997
banished; vanished; 100000              # p=0.993, r=0.226, 1000+997
banished; vanished; 10000               # p=0.991, r=0.290, 1000+997
banishes; vanishes; 1000000             # p=0.998, r=0.273, 596+1000
banishes; vanishes; 100000              # p=0.995, r=0.356, 596+1000
banishes; vanishes; 10000               # p=0.994, r=0.449, 596+1000
banishes; vanishes; 1000                # p=0.994, r=0.521, 596+1000
banishes; vanishes; 100                 # p=0.993, r=0.603, 596+1000
banishes; vanishes; 10                  # p=0.990, r=0.682, 596+1000
banish; vanish; 1000000                 # p=0.995, r=0.193, 1000+999
banish; vanish; 100000                  # p=0.992, r=0.256, 1000+999
baptized; baptizes; 1000000             # p=0.996, r=0.636, 1000+119
baptized; baptizes; 100000              # p=0.991, r=0.665, 1000+119
barb; barn; 1000000                     # p=0.996, r=0.224, 999+991
barb; barn; 100000                      # p=0.996, r=0.256, 999+991
barbecued; barbecues; 1000000           # p=0.994, r=0.151, 372+698
barbecued; barbecues; 100000            # p=0.996, r=0.213, 372+698
barbecued; barbecues; 10000             # p=0.994, r=0.299, 372+698
barbecued; barbecues; 1000              # p=0.993, r=0.405, 372+698
barbed; barged; 1000000                 # p=0.997, r=0.572, 999+284
barbed; barged; 100000                  # p=0.996, r=0.606, 999+284
barbed; barged; 10000                   # p=0.995, r=0.643, 999+284
barbed; barged; 1000                    # p=0.995, r=0.730, 999+284
barbed; barged; 100                     # p=0.991, r=0.799, 999+284
barfed; barged; 1000000                 # p=1.000, r=0.245, 22+284
barfed; barged; 100000                  # p=1.000, r=0.337, 22+284
barfed; barged; 10000                   # p=1.000, r=0.529, 22+284
barged; barges; 1000000                 # p=0.995, r=0.443, 284+999
barged; barges; 100000                  # p=0.994, r=0.495, 284+999
barraged; barrages; 1000000             # p=1.000, r=0.407, 65+800
barraged; barrages; 100000              # p=1.000, r=0.487, 65+800
barraged; barrages; 10000               # p=0.998, r=0.587, 65+800
barraged; barrages; 1000                # p=0.997, r=0.662, 65+800
barraged; barrages; 100                 # p=0.994, r=0.770, 65+800
barraged; barrages; 10                  # p=0.992, r=0.843, 65+800
barred; barres; 1000000                 # p=0.997, r=0.224, 998+452
barricaded; barricades; 1000000         # p=0.995, r=0.325, 1000+1000
barricaded; barricades; 100000          # p=0.991, r=0.435, 1000+1000
barrows; narrows; 1000000               # p=0.995, r=0.105, 1000+1000
barrows; narrows; 100000                # p=0.996, r=0.123, 1000+1000
bartered; battered; 1000000             # p=0.995, r=0.226, 617+1000
bartered; battered; 100000              # p=0.995, r=0.271, 617+1000
bartered; battered; 10000               # p=0.996, r=0.349, 617+1000
bartered; battered; 1000                # p=0.993, r=0.439, 617+1000
bartering; battering; 1000000           # p=1.000, r=0.342, 376+1000
bartering; battering; 100000            # p=1.000, r=0.389, 376+1000
bartering; battering; 10000             # p=0.995, r=0.435, 376+1000
bartering; battering; 1000              # p=0.993, r=0.486, 376+1000
barters; batters; 1000000               # p=1.000, r=0.213, 59+1000
barters; batters; 100000                # p=1.000, r=0.281, 59+1000
barters; batters; 10000                 # p=1.000, r=0.347, 59+1000
barters; batters; 1000                  # p=0.991, r=0.422, 59+1000
barters; batters; 100                   # p=0.992, r=0.465, 59+1000
barters; garters; 1000000               # p=1.000, r=0.172, 59+267
basally; nasally; 1000                  # p=0.990, r=0.298, 551+131
basally; nasally; 100                   # p=0.992, r=0.365, 551+131
basally; nasally; 10                    # p=0.992, r=0.534, 551+131
basal; nasal; 1000000                   # p=1.000, r=0.323, 999+1000
basal; nasal; 100000                    # p=0.997, r=0.379, 999+1000
basal; nasal; 10000                     # p=0.998, r=0.443, 999+1000
basal; nasal; 1000                      # p=0.998, r=0.497, 999+1000
basal; nasal; 100                       # p=0.996, r=0.556, 999+1000
based; bases; 1000000                   # p=0.993, r=0.576, 998+1000
based; bases; 100000                    # p=0.994, r=0.649, 998+1000
basks; basis; 1000000                   # p=0.996, r=0.861, 84+999
basks; basis; 100000                    # p=0.995, r=0.874, 84+999
basks; basis; 10000                     # p=0.994, r=0.886, 84+999
basks; basis; 1000                      # p=0.991, r=0.895, 84+999
batched; batches; 1000000               # p=1.000, r=0.674, 70+1000
batched; batches; 100000                # p=1.000, r=0.721, 70+1000
batched; batches; 10000                 # p=0.999, r=0.762, 70+1000
batched; batches; 1000                  # p=0.999, r=0.802, 70+1000
batched; batches; 100                   # p=0.997, r=0.833, 70+1000
batched; batches; 10                    # p=0.994, r=0.869, 70+1000
bated; bared; 1000000                   # p=1.000, r=0.281, 63+506
bated; bared; 100000                    # p=1.000, r=0.327, 63+506
bated; bared; 10000                     # p=1.000, r=0.388, 63+506
bated; bared; 1000                      # p=0.996, r=0.466, 63+506
bated; bared; 100                       # p=0.993, r=0.506, 63+506
bated; bared; 10                        # p=0.994, r=0.554, 63+506
bathed; bathes; 1000000                 # p=0.994, r=0.385, 1000+331
bathers; gathers; 1000000               # p=0.998, r=0.261, 776+1000
bathers; gathers; 100000                # p=0.998, r=0.292, 776+1000
bathers; gathers; 10000                 # p=0.998, r=0.356, 776+1000
bathers; gathers; 1000                  # p=0.993, r=0.425, 776+1000
bats; bags; 1000000                     # p=1.000, r=0.136, 997+999
bats; bags; 100000                      # p=1.000, r=0.164, 997+999
bats; bags; 10000                       # p=1.000, r=0.206, 997+999
batter; barter; 1000000                 # p=0.995, r=0.186, 999+1000
batter; barter; 100000                  # p=0.996, r=0.243, 999+1000
batter; barter; 10000                   # p=0.997, r=0.310, 999+1000
batter; barter; 1000                    # p=0.993, r=0.374, 999+1000
battering; nattering; 1000000           # p=1.000, r=0.511, 1000+61
battering; nattering; 100000            # p=0.998, r=0.560, 1000+61
battering; nattering; 10000             # p=0.997, r=0.621, 1000+61
battering; nattering; 1000              # p=0.994, r=0.671, 1000+61
battering; nattering; 100               # p=0.992, r=0.743, 1000+61
battering; nattering; 10                # p=0.992, r=0.821, 1000+61
bawd; gawd; 1000000                     # p=1.000, r=0.185, 71+118
bawd; gawd; 100000                      # p=1.000, r=0.254, 71+118
bawd; gawd; 10000                       # p=1.000, r=0.280, 71+118
bawd; gawd; 1000                        # p=1.000, r=0.339, 71+118
bayed; bated; 1000000                   # p=1.000, r=0.244, 138+63
bayed; bated; 100000                    # p=1.000, r=0.269, 138+63
bayed; bated; 10000                     # p=1.000, r=0.294, 138+63
bayed; bated; 1000                      # p=1.000, r=0.318, 138+63
bayed; bated; 100                       # p=1.000, r=0.547, 138+63
bayed; bated; 10                        # p=1.000, r=0.632, 138+63
bayed; bated; 10                        # p=0.993, r=0.701, 138+63
baying; bating; 1000000                 # p=1.000, r=0.202, 143+40
baying; bating; 100000                  # p=1.000, r=0.279, 143+40
baying; bating; 10000                   # p=1.000, r=0.339, 143+40
beached; beaches; 1000000               # p=0.992, r=0.463, 1000+998
beaked; braked; 1000000                 # p=0.999, r=0.675, 999+427
beaked; braked; 100000                  # p=0.998, r=0.708, 999+427
beaked; braked; 10000                   # p=0.997, r=0.717, 999+427
beaked; braked; 1000                    # p=0.996, r=0.759, 999+427
beaked; braked; 100                     # p=0.996, r=0.792, 999+427
beaked; braked; 10                      # p=0.993, r=0.837, 999+427
beam; bean; 1000000                     # p=0.996, r=0.280, 995+1000
beam; bean; 100000                      # p=0.995, r=0.308, 995+1000
beam; bean; 10000                       # p=0.994, r=0.362, 995+1000
beamed; beaned; 1000000                 # p=0.996, r=0.452, 993+52
beamed; beaned; 100000                  # p=0.996, r=0.525, 993+52
beamed; beaned; 10000                   # p=0.995, r=0.595, 993+52
beams; beans; 1000000                   # p=0.998, r=0.245, 1000+1000
beams; beans; 100000                    # p=0.995, r=0.298, 1000+1000
beams; beans; 10000                     # p=0.995, r=0.374, 1000+1000
beams; beans; 1000                      # p=0.994, r=0.449, 1000+1000
beams; beans; 100                       # p=0.993, r=0.531, 1000+1000
bearing; beating; 1000000               # p=1.000, r=0.245, 1000+1000
bearing; beating; 100000                # p=1.000, r=0.282, 1000+1000
bearing; beating; 10000                 # p=0.991, r=0.329, 1000+1000
bearings; beatings; 1000000             # p=0.990, r=0.248, 999+1000
bearings; beatings; 100000              # p=0.992, r=0.307, 999+1000
bears; beard; 1000000                   # p=0.990, r=0.101, 987+1000
beaten; neaten; 1000000                 # p=0.996, r=0.818, 1000+21
beaten; neaten; 100000                  # p=0.995, r=0.846, 1000+21
beaten; neaten; 10000                   # p=0.995, r=0.862, 1000+21
beaten; neaten; 1000                    # p=0.995, r=0.891, 1000+21
beaten; neaten; 100                     # p=0.995, r=0.921, 1000+21
beaten; neaten; 10                      # p=0.993, r=0.945, 1000+21
beaten; neaten; 10                      # p=0.992, r=0.967, 1000+21
becks; necks; 1000000                   # p=0.996, r=0.533, 389+1000
beds; bees; 1000000                     # p=0.994, r=0.156, 1000+998
beds; bees; 100000                      # p=0.993, r=0.218, 1000+998
bee; bed; 1000000                       # p=0.990, r=0.156, 989+993
beers; beets; 1000000                   # p=0.998, r=0.266, 997+999
beers; beets; 100000                    # p=0.997, r=0.295, 997+999
beers; beets; 10000                     # p=0.994, r=0.327, 997+999
befuddled; befuddles; 1000000           # p=1.000, r=0.291, 296+20
befuddled; befuddles; 100000            # p=1.000, r=0.361, 296+20
befuddled; befuddles; 10000             # p=1.000, r=0.453, 296+20
befuddled; befuddles; 1000              # p=1.000, r=0.576, 296+20
begin; begun; 1000000                   # p=0.995, r=0.479, 999+1000
begin; begun; 100000                    # p=0.993, r=0.534, 999+1000
begs; bets; 1000000                     # p=0.991, r=0.365, 1000+1000
begs; bets; 100000                      # p=0.992, r=0.449, 1000+1000
begs; bets; 10000                       # p=0.992, r=0.527, 1000+1000
begs; bets; 1000                        # p=0.990, r=0.601, 1000+1000
beguiled; beguiles; 1000000             # p=1.000, r=0.308, 186+35
