# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
contre-aiguilles;contre-aiguille;N f p
double-faces;double-face;N f p
contre-fossés;contre-fossé;N m p
contre-études;contre-étude;N f p
contre-batteur;contre-batteur;N m s
contre-expert;contre-expert;N m s
contre-accusations;contre-accusation;N f p
contre-manoeuvres;contre-manoeuvre;N e p
contre-experts;contre-expert;N m p
plein-air;plein-air;N m sp
plein-emploi;plein-emploi;N m sp
plein-jeu;plein-jeu;N m sp
plein-temps;plein-temps;J e sp
plein-temps;plein-temps;N m s
pleins-temps;plein-temps;N m p
plein-vent;plein-vent;N m s
pleins-vents;plein-vent;N m p
pleint-sur-joint;pleint-sur-joint;J e sp
trop-plein;trop-plein;N m s
trop-pleins;trop-plein;N m s
terre-plein;terre-plein;N m s
terre-pleins;terre-plein;N m p
terreplein;terreplein;N m s
pile-poil;pile-poil;A
rebrousse-poil;rebrousse-poil;A
Juppé;Juppé;Z e sp
Lorie;Lorie;Z e sp
Lula;Lula;Z e sp
Lusignan;Lusignan;Z e sp
MOBA;MOBA;Z e sp
Malone;Malone;Z e sp
QSE;QSE;Z e sp
Romy;Romy;Z e sp
Rossi;Rossi;Z e sp
Conforama;Conforama;Z e sp
SRU;SRU;Z e sp
RIC;RIC;Z e sp
AMAP;AMAP;Z e sp
ATOS;ATOS;Z e sp
ERSH;ERSH;Z e sp
primo-ministériel;primo-ministériel;J m s
primo-ministérielle;primo-ministériel;J f s
primo-ministériels;primo-ministériel;J m p
primo-ministérielles;primo-ministériel;J f p
IOP;IOP;Z e sp
AGEFIPH;AGEFIPH;Z e sp
DEBOE;DEBOE;Z e sp
OETH;OETH;Z e sp
Barbie;Barbie;Z e sp
primo-demandeurs;primo-demandeurs;N e p
primo-demandeur;primo-demandeurs;N e s
primo-vaccination;primo-vaccination;N f sp
primo-romancier;primo-romancier;N m s
primo-romanciers;primo-romancier;N m p
éco-organisme;éco-organisme;N e s
éco-organismes;éco-organisme;N e p
Pont-Neuf;Pont-Neuf;Z e sp
Guilbaud;Guilbaud;Z e sp
Reynier;Reynier;Z e sp
Aubry;Aubry;Z e sp
Bosc;Bosc;Z e sp
masterclass;masterclass;N f sp
CD;CD;N m sp
clignotant;clignotant;N m s
clignotants;clignotant;N m p
bienfaisant;bienfaisant;N m s
bienfaisante;bienfaisant;N f s
bienfaisants;bienfaisant;N m p
bienfaisantes;bienfaisant;N f p
follower;follower;N e s
followers;follower;N e p
Kazuko;Kazuko;Z e sp
Kenji;Kenji;Z e sp
Malaurie;Malaurie;Z e sp
Michaëla;Michaëla;Z e sp
agro;agro;S
léchouille;léchouille;N f s
léchouilles;léchouille;N f p
Mbps;Mbps;S
Mentos;Mentos;Z e sp
roadtrip;roadtrip;N m s
roadtrips;roadtrip;N m p
NCI;NCI;S
VAD;VAD;N f s
contremaitre;contremaitre;N e s
add-on;add-on;N m s
add-ons;add-on;N m p
Berzin;Berzin;Z e sp
Boltro;Boltro;Z e sp
Meerwala;Meerwala;Z e sp
Brooks;Brooks;Z e sp
Aragon;Aragon;Z e sp
Atlas;Atlas;Z e sp
Illinois;Illinois;Z e sp
Ibis;Ibis;Z e sp
Cassis;Cassis;Z e sp
Kentucky;Kentucky;Z e sp
Saint-Marin;Saint-Marin;Z e sp
Sakura;Sakura;Z e sp
Yang;Yang;Z e sp
Adobe;Adobe;Z e sp
Bristol;Bristol;Z e sp
Camaïeu;Camaïeu;Z e sp
Harpagon;Harpagon;Z e sp
Hunter;Hunter;Z e sp
Spoutnik;Spoutnik;Z e sp
Cendrillon;Cendrillon;Z e sp
Quasimodo;Quasimodo;Z e sp
bouléguer;bouléguer;V inf
bouléguer;bouléguer;V ppa m s
bouléguée;bouléguer;V ppa f s
boulégués;bouléguer;V ppa m p
bouléguées;bouléguer;V ppa f p
bouléguant;bouléguer;V ppr
boulègue;bouléguer;V ind pres 1 s
boulègues;bouléguer;V ind pres 2 s
boulègue;bouléguer;V ind pres 3 s
bouléguons;bouléguer;V ind pres 1 p
bouléguez;bouléguer;V ind pres 2 p
boulèguent;bouléguer;V ind pres 3 p
boulègue;bouléguer;V sub pres 1 s
boulègues;bouléguer;V sub pres 2 s
boulègue;bouléguer;V sub pres 3 s
bouléguions;bouléguer;V sub pres 1 p
bouléguiez;bouléguer;V sub pres 2 p
boulèguent;bouléguer;V sub pres 3 p
boulèguais;bouléguer;V ind impa 1 s
boulèguais;bouléguer;V ind impa 2 s
boulèguait;bouléguer;V ind impa 3 s
bouléguions;bouléguer;V ind impa 1 p
bouléguiez;bouléguer;V ind impa 2 p
boulèguaient;bouléguer;V ind impa 3 p
boulèguerai;bouléguer;V ind futu 1 s
boulèguerais;bouléguer;V ind futu 2 s
boulèguerait;bouléguer;V ind futu 3 s
bouléguerons;bouléguer;V ind futu 1 p
bouléguerez;bouléguer;V ind futu 2 p
boulègueront;bouléguer;V ind futu 3 p
boulèguai;bouléguer;V ind psim 1 s
boulèguas;bouléguer;V ind psim 2 s
boulègua;bouléguer;V ind psim 3 s
bouléguâmes;bouléguer;V ind psim 1 p
bouléguâtes;bouléguer;V ind psim 2 p
boulèguèrent;bouléguer;V ind psim 3 p
boulèguerais;bouléguer;V con pres 1 s
boulèguerais;bouléguer;V con pres 2 s
boulèguerait;bouléguer;V con pres 3 s
bouléguerions;bouléguer;V con pres 1 p
boulégueriez;bouléguer;V con pres 2 p
boulègueraint;bouléguer;V con pres 3 p
bouléguasse;bouléguer;V sub impa 1 s
bouléguasses;bouléguer;V sub impa 2 s
bouléguerât;bouléguer;V sub impa 3 s
bouléguassions;bouléguer;V sub impa 1 p
bouléguassiez;bouléguer;V sub impa 2 p
bouléguassent;bouléguer;V sub impa 3 p
boulègue;bouléguer;V imp pres 1 s
bouléguons;bouléguer;V imp pres 1 p
bouléguez;bouléguer;V imp pres 2 p
crème;crème;N f s
com;com;N e s
com;com;N e p
Newbery;Newbery;Z e sp
Terrasson;Terrasson;Z e sp
É.-U.;É.-U.;S
π;π;S
doc;doc;N m s
DPJ;DPJ;S
vol.;vol.;S
ex.;ex.;S
VAD;VAD;S
BOA;BOA;S
c.-à-d.;c.-à-d.;S
COS;COS;S
sec;sec;N f s
NL;NL;S
ILS;ILS;S
doc;doc;N f s
Aigues-Mortes;Aigues-Mortes;Z e sp
Ambleville;Ambleville;Z e sp
Andernos-les-Bains;Andernos-les-Bains;Z e sp
Argentat;Argentat;Z e sp
Bafoussam;Bafoussam;Z e sp
B-Ball;B-Ball;Z e sp
Bazin;Bazin;Z e sp
Benali;Benali;Z e sp
Benamou;Benamou;Z e sp
Bingley;Bingley;Z e sp
Bernheim;Bernheim;Z e sp
Bodin;Bodin;Z e sp
Bonville;Bonville;Z e sp
Bournemouth;Bournemouth;Z e sp
Brantôme;Brantôme;Z e sp
Brunel;Brunel;Z e sp
Cambo;Cambo;Z e sp
Canet-en-Roussillon;Canet-en-Roussillon;Z e sp
Cartigny;Cartigny;Z e sp
Centany;Centany;Z e sp
Century;Century;Z e sp
Champigny;Champigny;Z e sp
Chassieu;Chassieu;Z e sp
Colcott;Colcott;Z e sp
Chanteloup-les-Vignes;Chanteloup-les-Vignes;Z e sp
Crozon;Crozon;Z e sp
Darcy;Darcy;Z e sp
Canet;Canet;Z e sp
Castets;Castets;Z e sp
Caylus;Caylus;Z e sp
Champigny;Champigny;Z e sp
Débora;Débora;Z e sp
Dudley;Dudley;Z e sp
Dullin;Dullin;Z e sp
Esley;Esley;Z e sp
Fanka;Fanka;Z e sp
Fongrave;Fongrave;Z e sp
Fortuna;Fortuna;Z e sp
Fresnoy-le-Luat;Fresnoy-le-Luat;Z e sp
Giverny;Giverny;Z e sp
Grey;Grey;Z e sp
Hashimoto;Hashimoto;Z e sp
Z-Hen;Z-Hen;Z e sp
Hoshino;Hoshino;Z e sp
Hunt;Hunt;Z e sp
Ito;Ito;Z e sp
Ivry-sur-Seine;Ivry-sur-Seine;Z e sp
Jarvis;Jarvis;Z e sp
Kato;Kato;Z e sp
Kinoshita;Kinoshita;Z e sp
Koh;Koh;Z e sp
Konni;Konni;Z e sp
Madelon;Madelon;Z e sp
Marbel;Marbel;Z e sp
Martelly;Martelly;Z e sp
Michon;Michon;Z e sp
Minorque;Minorque;Z e sp
Moliets;Moliets;Z e sp
Moret;Moret;Z e sp
Mézin;Mézin;Z e sp
Naxos;Naxos;Z e sp
Nicholls;Nicholls;Z e sp
Nicholson;Nicholson;Z e sp
Parker;Parker;Z e sp
Pellegrini;Pellegrini;Z e sp
Plazanet;Plazanet;Z e sp
Portillo;Portillo;Z e sp
Quetigny;Quetigny;Z e sp
Rothenthurm;Rothenthurm;Z e sp
Santone;Santone;Z e sp
Soarez;Soarez;Z e sp
Takada;Takada;Z e sp
Tamura;Tamura;Z e sp
Tanabe;Tanabe;Z e sp
Tanaka;Tanaka;Z e sp
Stevens;Stevens;Z e sp
Sévérac;Sévérac;Z e sp
Tanda;Tanda;Z e sp
Villiers-lès-Aprey;Villiers-lès-Aprey;Z e sp
Vias;Vias;Z e sp
Wei;Wei;Z e sp
Wilder;Wilder;Z e sp
Yoshida;Yoshida;Z e sp
ETP;ETP;S
HSPA;HSPA;S
Wriggles;Wriggles;Z e sp
RAN;RAN;S
CF;CF;S
inter-entreprises;inter-entreprise;J e p
contre-moulage;contre-moulage;N m s
contre-moulages;contre-moulage;N m p
contremoulage;contremoulage;N m s
contremoulages;contremoulage;N m p
Notre-Dame-des-Naufragés;Notre-Dame-des-Naufragés;Z e sp
Dropbox;Dropbox;Z f sp
PI;PI;N f sp
RIA;RIA;N m sp
CTA;CTA;N m sp
CPI;CPI;N m sp
PMA;PMA;N m sp
IceCube;IceCube;Z e sp
Broadview;Broadview;Z e sp
Yi;Yi;Z e sp
Yami;Yami;Z e sp
Wordans;Wordans;Z e sp
Moshi;Moshi;Z e sp
Mahi;Mahi;Z e sp
Macton;Macton;Z e sp
Ishi;Ishi;Z e sp
Holika;Holika;Z e sp
Hailey;Hailey;Z e sp
Carolles;Carolles;Z e sp
Baden;Baden;Z e sp
Asics;Asics;Z e sp
Rudyard;Rudyard;Z e sp
c.-à-d.;c.-à-d.;S
dim.;dimanche;S
lun.;lundi;S
mar.;mardi;S
mer.;mercredi;S
jeu.;jeudi;S
ven.;vendredi;S
sam.;samedi;S
réf.;référence;S
off.;office;S
méta-description;méta-description;N f sp
ROI;ROI;S
DA;DA;S
POE;POE;N f s
TG;TG;N f s
SIR;SIR;N f s
GRETA;GRETA;S
Puma;Puma;S
PO;PO;S
Miyabi;Miyabi;Z e sp
couvre-caisse;couvre-caisse;N m s
couvre-caisses;couvre-caisse;N m p
A. D.;A. D.;S
s.d.;s.d.;S
s.é.;s.é.;S
s.l.;s.l.;S
s.l.n.é.;s.l.n.é.;S
s.p.;s.p.;S
Auxerre;Auxerre;Z e sp
Sté;Sté;S
AID;AID;N m sp
ALE;ALE;N m sp
AOC;AOC;N f sp
ATME;ATME;N m sp
BCG;BCG;N m sp
BIRD;BIRD;N f sp
c.a.;c.a.;S
CIDP;CIDP;N m sp
CIO;CIO;N m sp
CLO;CLO;N m sp
CNA;CNA;N m sp
CROP;CROP;N m sp
FF;FF;T m sp
HTTP;HTTP;N m sp
ltée;ltée;S
NAS;NAS;S
NDA;NDA;N f sp
NDLR;NDLR;N f sp
OEA;OEA;N f sp
OPA;OPA;N f sp
OPEP;OPEP;N f sp
OTASE;OTASE;N f sp
OUA;OUA;N f sp
RSVP;RSVP;S
S.A.I.R.;S.A.I.R.;T e sp
SAIR;SAIR;T e sp
S.A.I.;S.A.I.;T e sp
SAI;SAI;T e sp
S. A. R.;S. A. R.;T e sp
SAR;SAR;T e sp
SFI;SFI;N f sp
SMI;SMI;T e sp
SMR;SMR;T e sp
SH;SH;T e sp
S.H.;S.H.;T e sp
SIG;SIG;N m sp
Srs;Srs;T f p
Sr;Sr;T f s
UPI;UPI;N f sp
UPU;UPU;N f sp
svp;svp;S
stp;stp;S
Sᵗ;Sᵗ;T m s
DEA;DEA;N f sp
TC;TC;N f sp
ANSES;ANSES;N f sp
Ray-Ban;Ray-Ban;Z e sp
XPress;XPress;Z e sp
VTTistes;VTTiste;N e p
VTTiste;VTTiste;N e s
UMons;UMons;S
Rpistes;Rpistes;Z e sp
ouiste;ouiste;N e s
ouistes;ouiste;N e p
Novopress;Novopress;Z e sp
II;II;Y
IFprofs;IFprofs;Z e sp
EE;EE;S
DATAComSys;DATAComSys;Z e sp
CSERS;CSERS;S
CSeries;CSeries;Z e sp
CNews;CNews;Z e sp
CBeebies;CBeebies;Z e sp
chablons;chablons;N m p
ACU;ACU;Z f sp
AEP;AEP;Z f sp
APE;APE;Z f sp
AVP;AVP;Z f sp
CCA;CCA;Z e sp
CDL;CDL;Z e sp
CHR;CHR;Z e sp
CTR;CTR;Z e sp
DCA;DCA;N f sp
DEC;DEC;N m sp
DEM;DEM;N m sp
DIU;DIU;N m sp
DMI;DMI;N m sp
ERD;ERD;N e sp
ESS;ESS;N f sp
FAL;FAL;N m sp
FAP;FAP;N m sp
FCF;FCF;N e sp
FDP;FDP;N e sp
FFI;FFI;N f sp
FUB;FUB;N f sp
GAM;GAM;N m sp
GDV;GDV;N e sp
GEM;GEM;N e sp
GHT;GHT;N e sp
GRR;GRR;N m sp
GZD;GZD;N e sp
HHI;HHI;N e sp
HOG;HOG;N e sp
IES;IES;N f sp
ITI;ITI;N e sp
JCA;JCA;N f sp
JRR;JRR;N e sp
JSA;JSA;N e sp
JSP;JSP;N e sp
LET;LET;N e sp
LLC;LLC;N e sp
LOF;LOF;N e sp
MAB;MAB;N e sp
MMS;MMS;N e sp
NAP;NAP;N e sp
NRC;NRC;N e sp
ORA;ORA;N e sp
PDA;PDA;N e sp
PNL;PNL;N e sp
POA;POA;N e sp
PUG;PUG;N m sp
RBA;RBA;N e sp
SEI;SEI;N e sp
SEM;SEM;N e sp
SLU;SLU;N f sp
TAT;TAT;N m sp
VRD;VRD;N f sp
WIP;WIP;N e sp
div;div;N e sp
BEPC;BECP;N m sp
BGSI;BGSI;N f sp
CACP;CACP;N f sp
CCCF;CCCF;N f sp
CMCN;CMCN;N m sp
CPAM;CPAM;N f sp
DSCI;DSCI;N m sp
EETS;EETS;N f sp
EFMO;EFMO;N m sp
EMDR;EMDR;N f sp
EMPA;EMPA;N f sp
FREI;FREI;N e sp
NOVA;NOVA;Z e sp
SECO;SECO;N f sp
SHAB;SHAB;N f sp
TCBL;TCBL;N e sp
TFMO;TFMO;N e sp
TREC;TREC;N e sp
TRIK;TRIK;N e sp
ABPV;ABPV;N f sp
ACAB;ACAB;N e sp
ACCA;ACCA;N f sp
ADDP;ADDP;N f sp
AEFE;AEFE;N f sp
AFBF;AFBF;N f sp
ALSH;ALSH;N f sp
AMSU;AMSU;N e sp
AMUB;AMUB;N e sp
AOSE;AOSE;N e sp
APES;APES;N f sp
ATGA;ATGA;N f sp
BFBP;BFBP;N f sp
BGSI;BGSI;N f sp
BMHN;BMHN;N e sp
CARL;CARL;N e sp
CASU;CASU;N e sp
CCFD;CCFD;N m sp
CEDH;CEDH;N m sp
CIIP;CIIP;N e sp
CMDP;CMDP;N m sp
CQFD;CQFD;S
CTHS;CTHS;N e sp
CVRA;CVRA;N e sp
DADS;DADS;N e sp
DBLE;DBLE;N e sp
DPLG;DPLG;N e sp
EMPA;EMPA;N f sp
EZNA;EZNA;N f sp
FAFA;FAFA;N f sp
FIPA;FIPA;N f sp
GAAR;GAAR;N e sp
HAPA;HAPA;N e sp
LCEN;LCEN;N e sp
LGDJ;LGDJ;N e sp
RAAF;RAAF;N f sp
RGIE;RGIE;N m sp
SWCS;SWCS;N e sp
UIMM;UIMM;N f sp
VDQS;VDQS;N e sp
XANA;XANA;N e sp
collab;collab;N f sp
pr;pr;S
prog;prog;N e sp
sup;sup;N f sp
xD;xD;S
Yuki;Yuki;Z e sp
case;case;N e sp
SEP;SEP;N f sp
RTT;RTT;N m sp
EVA;EVA;N f sp
TCD;TCD;N m sp
ÉTS;ÉTS;N e sp
SST;SST;N f sp
Grisolles;Grisolles;Z e sp
Yuan;Yuan;Z e sp
CEDH;CEDH;N f sp
SUP;SUP;N m sp
sup;sup;N e sp
compète;compète;N f s
compètes;compète;N f p
range;range;N e sp
commandite;commandite;N f s
Mimie;Mimie;Z e sp
Bouvigny-Boyeffles;Bouvigny-Boyeffles;Z e sp
Cavani;Cavani;Z e sp
Spengler;Spengler;Z e sp
Lapeyre;Lapeyre;Z e sp
Wildenstein;Wildenstein;Z e sp
Wallerstein;Wallerstein;Z e sp
Rothenstein;Rothenstein;Z e sp
Duravel;Duravel;Z e sp
Duhamel;Duhamel;Z e sp
Moldu;Moldu;Z e sp
Moldus;Moldu;Z e sp
Albus;Albus;Z e sp
Malfoy;Malfoy;Z e sp
Illia;Illia;Z e sp
je-m'en-foutiste;je-m'en-foutiste;S
axions;axions;N m p
moulons;moulon;N m p
moulon;moulon;N m s
Pictons;Pictons;Z e sp
Agnelons;Agnelons;Z e sp
Terrons;Terrons;Z e sp
furetons;fureton;N m p
fureton;fureton;N m s
Forons;Forons;Z e sp
magnons;magnon;N m p
magnon;magnon;N m s
casserons;casserons;N m p
godons;godon;N m p
godon;godon;N m s
grime;grime;N m s
Valais;Valais;Z e sp
Note;Note;Z m sp
Note;Note;N f s
Ain;Ain;Z e sp
écoute-bébé;écoute-bébé;N m s
écoute-bébés;écoute-bébé;N m p
serre-cuisse;serre-cuisse;N m s
serre-cuisses;serre-cuisse;N m p
Nexus;Nexus;Z m sp
SUP;SUP;N m sp
SIG;SIG;N f sp
tech;technicien;N e sp
LOB;LOB;N f sp
NDA;NDA;N m sp
GAM;GAM;N f sp
New-Yorkais;New-Yorkais;N m sp
FAC;FAC;N e sp
DIT;DIT;N f sp
CEDH;CEDH;N f sp
NUS;NUS;N f sp
Fév;Fév;S
Mar;Mar;Z e sp
ISEOR;ISEOR;S
Kiki;Kiki;Z e sp
Méhari;Méhari;Z f sp
download;download;N e sp
anti;anti;A
player;player;N e s
name;name;N e s
names;name;N e p
is;is;S
Morizet;Morizet;Z e sp
Lingons;Lingons;Z e sp
Hiis;Hiis;Z e sp
Haisnes;Haisnes;Z e sp
BOBD;BOBD;S
players;player;N e p
2de;2de;J e sp
2ᵈ;2ᵈ;J e sp
Lolo;Lolo;Z f sp
GBP;GBP;N m sp
Neptune;Neptune;Z m sp
PTS;PTS;N f sp
LM;LM;N f sp
SEC;SEC;N m sp
RFC;RFC;N m sp
régule;régulation;N f s
FAR;FAR;N e sp
home;home;N f sp
clic-clac;clic-clac;N m s
clic-clacs;clic-clac;N m p
Nova;Nova;Z m sp
TDF;TDF;N e sp
Rillieux-la-Pape;Rillieux-la-Pape;Z e sp
CCD;CCD;N m sp
BSD;BSD;N m sp
coupe-griffes;coupe-griffes;N m sp
STEP;STEP;N f sp
motion;motion;N e s
REM;REM;N e sp
sales;sales;N e sp
Concorde;Concorde;Z m sp
RIPE;RIPE;Z e sp
Dept;Dept;Z e sp
ENREG;ENREG;S
Mathy;Mathy;Z e sp
ligures;ligures;J e p
Aude;Aude;Z e sp
Autriche;Autriche;Z f s
Bretagne;Bretagne;Z f s
Bruant;Bruant;Z m s
Brésil;Brésil;Z m s
Gujarat;Gujarat;Z m s
Carrouf;Carrouf;Z e sp
donf;donf;N e sp
Jennings;Jennings;Z e sp
Farangs;Farang;N m p
rhônalpins;rhônalpins;J m p
rhônalpines;rhônalpins;J f p
politico;politico;J e sp
cliqué;cliqué;V ppa m s
BFQ;BFQ;N m sp
Concorde;Concorde;N f sp
Vogue;Vogue;Z e sp
ratoux;ratoux;N e sp
Coré;Coré;Z m sp
Koré;Koré;Z m sp
MAP;MAP;Z e sp
Dohme;Dohme;Z e sp
Viger;Viger;Z e sp
Cayeux-sur-Mer;Cayeux-sur-Mer;Z e sp
Saint-Palais-sur-Mer;Saint-Palais-sur-Mer;Z e sp
Sanary-sur-Mer;Sanary-sur-Mer;Z e sp
Cagnes-sur-Mer;Cagnes-sur-Mer;Z e sp
Batz-sur-Mer;Batz-sur-Mer;Z e sp
Fos-sur-Mer;Fos-sur-Mer;Z e sp
Aiguillon-sur-mer;Aiguillon-sur-mer;Z e sp
Bretignolles-sur-Mer;Bretignolles-sur-Mer;Z e sp
Seyne-Sur-Mer;Seyne-Sur-Mer;Z e sp
complet-veston;complet-veston;N m sp
veston-cravate;veston-cravate;N m sp
costard-cravate;costard-cravate;N m sp
homemade;homemade;N e sp
Saint-Nectaire;Saint-Nectaire;Z e sp
Champaix;Champaix;Z e sp
Grisolles;Grisolles;Z e sp
arcanique;arcanique;J e s
arcaniques;arcanique;J e p
Liham;Liham;Z e sp
Liam;Liam;Z e sp
Orient-Express;Orient-Express;Z e sp
Roi-Soleil;Roi-Soleil;Z e sp
La-Seyne-sur-Mer;La-Seyne-sur-Mer;Z e sp
La-Faute-sur-Mer;La-Faute-sur-Mer;Z e sp
Kosciusko-Morizet;Kosciusko-Morizet;Z e sp
channel;channel;N e s
channels;channel;N e p
Husheima;Husheima;Z e sp
RCA;RCA;Z e sp
Stedman;Stedman;Z e sp
TG;TG;N f sp
Font-Romeu;Font-Romeu;Z e sp
frittons;fritton;N m p
fritton;fritton;N m s
Unelvent;Unelvent;Z e sp
Lamorlaye;Lamorlaye;Z e sp
Auer;Auer;Z e sp
Chaffoteaux;Chaffoteaux;Z e sp
Chappée;Chappée;Z e sp
surprise;surprise;J e s
surprises;surprise;J e p
Corvair;Corvair;Z e sp
Pinel;Pinel;Z e sp
Hauterive;Hauterive;Z e sp
Astorg;Astorg;Z e sp
livre-enquête;livre-enquête;N m s
automesure;automesure;N f s
automesures;automesure;N f p
autoparaphe;autoparaphe;N m s
autoparaphes;autoparaphe;N m p
Aevon;Aevon;Z e sp
chamallow;chamallow;N m s
Maliciouz;Maliciouz;Z e sp
ds;ds;P
Migori;Migori;Z e sp
quart-arrière;quart-arrière;N m s
Fatma;Fatma;Z e sp
Mali;Mali;Z m s
Afrique;Afrique;Z f s
Maroc;Maroc;Z m s
Japon;Japon;Z m s
Comores;Comores;Z e sp
Parisien;Parisien;Z m s
Mistral;Mistral;Z e sp
Maryland;Maryland;Z m s
Mozambique;Mozambique;Z m s
Mexique;Mexique;Z m s
Martinique;Martinique;Z f s
Shandong;Shandong;Z m sp
Sibérie;Sibérie;Z f s
Monoprix;Monoprix;Z m sp
Russie;Russie;Z f s
Portugual;Portugual;Z m s
Pennsylvanie;Pennsylvanie;Z f s
Wisconsin;Wisconsin;Z m s
Boulanger;Boulanger;Z e sp
Texas;Texas;Z e sp
Colorado;Colorado;Z m s
Minnesota;Minnesota;Z m s
Californie;Californie;Z f s
Léman;Léman;Z e s
Michigan;Michigan;Z m s
Nevada;Nevada;Z m s
Europe;Europe;Z f s
Couvain;Couvain;Z e sp
Espagne;Espagne;Z f s
Norvège;Norvège;Z f s
Normandie;Normandie;Z f s
Cisjordanie;Cisjordanie;Z f s
France;France;Z f s
Burkina;Burkina;Z m s
Antigua;Antigua;Z f s
Bahamas;Bahamas;Z m p
Bahreïn;Bahreïn;Z m s
Belgique;Belgique;Z f s
Belize;Belize;Z m s
Bermudes;Bermudes;Z f p
Bhoutan;Bhoutan;Z m s
Biélorussie;Biélorussie;Z f s
Birmanie;Birmanie;Z f s
Bolivie;Bolivie;Z f s
Botswana;Botswana;Z m s
Brunei;Brunei;Z m s
Bulgarie;Bulgarie;Z f s
Burkina;Burkina;Z m s
Burundi;Burundi;Z m s
Albanie;Albanie;Z f s
Algérie;Algérie;Z f s
Andorre;Andorre;Z f s
Angola;Angola;Z m s
Argentine;Argentine;Z f s
Afghanistan;Afghanistan;Z m s
Arménie;Arménie;Z f s
Azerbaïdjan;Azerbaïdjan;Z m s
Australie;Australie;Z f s
Angleterre;Angleterre;Z f s
Palau;Palau;Z f s
Palaos;Palaos;Z f s
Philippines;Philippines;Z f p
Qatar;Qatar;Z m s
Roumanie;Roumanie;N f s
Tajikistan;Tajikistan;Z m s
Zimbabwé;Zimbabwé;Z m s
Samoa;Samoa;Z m s
Cambodge;Cambodge;Z m s
Cameroun;Cameroun;Z m s
Chili;Chili;Z m s
Chine;Chine;Z f s
Colombie;Colombie;Z f s
Congo;Congo;Z m s
Croatie;Croatie;Z f s
Danemark;Danemark;Z m s
Égypte;Égypte;Z f s
Estonie;Estonie;Z f s
États-Unis;États-Unis;Z m p
Fidji;Fidji;Z f p
Finlande;Finlande;Z f s
Gabon;Gabon;Z m s
Gambie;Gambie;Z f s
Géorgie;Géorgie;Z f s
Ghana;Ghana;Z m s
Grèce;Grèce;Z f s
Groenland;Groenland;Z m s
Guadeloupe;Guadeloupe;Z f s
Guatemala;Guatemala;Z m s
Guinée;Guinée;Z f s
Guyane;Guyane;Z f s
Honduras;Honduras;Z m s
Hongrie;Hongrie;Z f s
Inde;Inde;Z f s
Indonésie;Indonésie;Z f s
Irak;Irak;Z m s
Iran;Iran;Z m s
Irlande;Irlande;Z f s
Islande;Islande;Z f s
Italie;Italie;Z f s
Jamaïque;Jamaïque;Z f s
Jordanie;Jordanie;Z f s
Kazakhstan;Kazakhstan;Z m s
Kenya;Kenya;Z m s
Kirghizstan;Kirghizstan;Z m s
Kiribati;Kiribati;Z f p
Kosovo;Kosovo;Z m s
Koweït;Koweït;Z m s
Barbade;Barbade;Z f s
Réunion;Réunion;Z f s
Laos;Laos;Z m s
Lesotho;Lesotho;Z m s
Lettonie;Lettonie;Z f s
Liban;Liban;Z m s
Liberia;Liberia;Z m s
Libye;Libye;Z f s
Liechtenstein;Liechtenstein;Z m s
Lituanie;Lituanie;Z f s
Macédoine;Macédoine;Z f s
Malawi;Malawi;Z m s
Maldives;Maldives;Z f p
Mauritanie;Mauritanie;Z f s
Micronésie;Micronésie;Z f s
Moldavie;Moldavie;Z f s
Mongolie;Mongolie;Z f s
Mozambique;Mozambique;Z m s
Myanmar;Myanmar;Z m s
Namibie;Namibie;Z f s
Népal;Népal;Z m s
Nicaragua;Nicaragua;Z m s
Niger;Niger;Z m s
Nigeria;Nigeria;Z m s
Nouvelle-Calédonie;Nouvelle-Calédonie;Z f s
Nouvelle-Zélande;Nouvelle-Zélande;Z f s
Oman;Oman;Z m s
Ouganda;Ouganda;Z m s
Ouzbékistan;Ouzbékistan;Z m s
Pakistan;Pakistan;Z m s
Panama;Panama;Z m s
Papouasie;Papouasie;Z f s
Paraguay;Paraguay;Z m s
Pérou;Pérou;Z m s
Pologne;Pologne;Z f s
Polynésie;Polynésie;Z f s
Qatar;Qatar;Z m s
Tanzanie;Tanzanie;Z f s
Tchad;Tchad;Z m s
Togo;Togo;Z m s
Tunisie;Tunisie;Z f s
Turkménistan;Turkménistan;Z m s
Turquie;Turquie;Z f s
Tuvalu;Tuvalu;Z m p
Ukraine;Ukraine;Z f s
Uruguay;Uruguay;Z m s
Vanuatu;Vanuatu;Z m s
Vatican;Vatican;Z m s
Venezuela;Venezuela;Z m s
Vietnam;Vietnam;Z m s
Yougoslavie;Yougoslavie;Z f s
Zambie;Zambie;Z f s
Sénégal;Sénégal;Z m s
Seychelles;Seychelles;Z f p
Slovaquie;Slovaquie;Z f s
Slovénie;Slovénie;Z f s
Somalie;Somalie;Z f s
Soudan;Soudan;Z m s
Suède;Suède;Z f s
Suisse;Suisse;Z f s
Surinam;Surinam;Z m s
Svalbard;Svalbard;Z m s
Swaziland;Swaziland;Z m s
Syrie;Syrie;Z f s
Vénézuéla;Vénézuéla;Z m s
Pays-Bas;Pays-Bas;Z m p
trav;trav;S
amazing;amazing;N e sp
failli;failli;V ppa m s
RPG;RPG;S
